letter, start_date, end_date
A,6/8/2003,6/17/2003
B,7/09/2005,7/27/2005
C,7/5/2006,7/30/2006
D,5/22/2007,5/28/2007
E,5/15/2008,5/26/2008
F,5/15/2009,6/7/2009
G,6/29/2010,7/15/2010
H,7/13/2011,8/6/2011
I,4/25/2012,5/9/2012
J,5/16/2013,5/21/2013
K,5/31/2014,6/3/2014
L,5/27/2015,6/4/2015
M,6/2/2016,6/15/2016
N,7/15/2017,8/1/2017
a,10/1/2002,10/27/2002
b,10/22/2004,11/14/2004
c,3/20/2005,5/3/2005
d,11/5/2005,11/13/2005
e,3/27/2006,4/16/2006
f,10/17/2006,10/27/2006
g,10/17/2007,10/27/2007
h,11/13/2007,1/11/2008
i,11/7/2008,11/16/2009
j,4/16/2009,5/6/2009
k,5/22/2010,5/24/2010
l,10/21/2010,10/28/2010
m,3/17/2011,5/31/2011
n,10/20/2011,10/31/2011
o,12/15/2011,1/6/2012
p,10/1/2012,11/12/2012
q,12/20/2015,1/31/2016
r,3/20/2016, 3/22/2016
s,10/21/2016,11/14/2016
t, 3/24/2017,4/3/2017